id,created_at,updated_at,votingCode,candidate_id,rank
52,2023-06-14 05:22:50,2023-06-14 05:22:50,iMIf,1,1
53,2023-06-14 05:22:50,2023-06-14 05:22:50,iMIf,2,2
54,2023-06-14 05:22:50,2023-06-14 05:22:50,iMIf,4,3
55,2023-06-14 06:37:23,2023-06-14 06:37:23,ObZu,1,1
56,2023-06-14 06:37:23,2023-06-14 06:37:23,ObZu,2,2
57,2023-06-14 06:37:23,2023-06-14 06:37:23,ObZu,4,3
58,2023-06-14 06:38:47,2023-06-14 06:38:47,2FSM,1,2
59,2023-06-14 06:38:47,2023-06-14 06:38:47,2FSM,2,3
60,2023-06-14 06:38:47,2023-06-14 06:38:47,2FSM,4,1
